user,assistant
What is Kobe famous for?,"Kobe is famous for its beef, the night view from the mountains, a lively port, and one of Japan's oldest Chinatowns."
Where can I try real Kobe beef?,Many teppanyaki restaurants in Sannomiya serve certified Kobe beef. Look for the official certificate and the rosette logo on the wall.
Is Kobe beef expensive?,"A proper dinner can be pricey, but many places offer a lunch course that is much friendlier on the wallet."
What should I see at night?,Take the ropeway or drive up to Mount Rokko or Maya for the 'ten-million-dollar night view' over the bay.
How do I get to Mount Rokko?,"Take the train to Rokko Station, then a bus and the cable car. It's about an hour from Sannomiya."
Tell me about Kobe's Chinatown.,Nankinmachi is a colourful street packed with food stalls. Try the steamed pork buns and the sesame balls!
Where is the best hot spring near Kobe?,"Arima Onsen, just behind Mount Rokko, is one of Japan's oldest hot springs. The 'gold' and 'silver' waters are famous."
What's a good area to walk by the sea?,"Harborland and Meriken Park are lovely for a seaside stroll, especially around sunset by the red Port Tower."
Is there anything about the 1995 earthquake?,"Yes. The Earthquake Memorial Museum tells the story of the 1995 Great Hanshin quake, and a preserved section of broken pier stands in Meriken Park."
What sweets is Kobe known for?,Kobe has a strong cake and chocolate culture. Try a slice at one of the old European-style patisseries downtown.
Can I see old Western houses?,"Head up to Kitano. The 'ijinkan' are former foreign residences from the port-opening era, fun to tour."
How do I get around the city?,The city is compact. Trains and the City Loop sightseeing bus connect almost every spot you'll want to visit.
What's good for a rainy day?,"Visit the Nunobiki Herb Gardens greenhouse, the museums near the port, or sip coffee in a Kitano cafe."
Is Kobe good for families?,Very much so. Kids love the Anpanman Museum at Harborland and the animal park up on Mount Rokko.
When is the best season to visit?,"Spring for cherry blossoms and autumn for cool, clear night views are the two finest seasons."
What's a famous local festival?,The Kobe Luminarie in early winter lights up the streets with glowing arches to remember the 1995 earthquake.
Where can I buy souvenirs?,Sannomiya and Motomachi shopping streets have everything from local sake to Kobe-themed sweets.
Is there a sake district?,"Yes, Nada is one of Japan's great sake regions. Several breweries near the coast offer free tastings and small museums."
How far is Kobe from Osaka?,"About 30 minutes by train, so Kobe makes an easy day trip from Osaka or Kyoto."
What's a quiet spot away from crowds?,The Nunobiki Falls hike starts right behind Shin-Kobe Station and feels miles from the city in minutes.
Do you recommend the ropeway?,"Yes! The Shin-Kobe ropeway glides over the waterfalls up to the herb gardens, with a great view both ways."
What food should I not miss?,"Besides Kobe beef, try 'sobameshi' (noodles and rice fried together) and warm pork buns in Chinatown."
Is English spoken in Kobe?,"In tourist areas and big restaurants, yes. A few polite Japanese phrases are always appreciated, though."
Where can I see the port best?,The observation deck of the Port Tower and the BE KOBE sign in Meriken Park are favourite photo spots.
Any tips for Kobe beef on a budget?,"Look for lunch sets, or try a Kobe beef croquette or skewer from a Chinatown stall for a small taste."
What's the weather like in Kobe?,"Mild and coastal. Summers are humid, winters are cool but rarely snowy down in the city."
Can I visit a brewery and taste sake?,"Yes, in Nada several breweries welcome visitors. Remember tastings are for those of legal drinking age."
Where do locals relax on weekends?,"Many head to Meriken Park, the Rokko mountains for a hike, or Arima for a soak in the hot springs."
Is Kobe walkable from the station?,"From Sannomiya you can reach Chinatown, the port, and the shopping streets all on foot within 15 minutes."
What's a perfect one-day plan?,"Morning in Kitano's old houses, lunch of Kobe beef downtown, afternoon by the port, and the night view from Mount Rokko."
