user,assistant
What time do you open?,We open at 8:00 every weekday morning and close at 4:00 in the afternoon.
Are you open on weekends?,"No, the cafe is closed on Saturdays and Sundays. See you Monday!"
What's on the menu today?,"Today we have rice bowls, two kinds of sandwiches, miso soup, and fresh fruit cups."
Do you have vegetarian food?,Yes! The vegetable rice bowl and the egg sandwich are both vegetarian.
Is there anything vegan?,"Our oat-milk latte, the fruit cups, and the salad bowl (ask for no cheese) are vegan."
I have a nut allergy. What is safe?,"Thanks for telling us. The rice bowls and miso soup are nut-free, but please ask staff to double-check the sandwiches that day."
Do you sell coffee?,"Yes, we have drip coffee, latte, and an oat-milk latte. Hot or iced."
How much is a latte?,"A regular latte is 350 yen, and the oat-milk latte is 400 yen."
Can I pay with my student card?,"Yes, you can tap your student card, or pay with cash. We don't take credit cards yet."
Do you take cash?,"Yes, cash is fine. We can give change up to a 1000-yen note."
Where is the cafe?,"We're on the first floor, right next to the library entrance."
Can I bring my own cup?,Please do! Bring a clean cup and we'll take 20 yen off any drink.
Do you have a quiet place to study?,The back corner has four small tables that are kept quiet for studying.
Can I reserve a table for my club?,Sure. Email the cafe staff a day ahead with your club name and how many people.
Is the food halal?,The vegetable and fish rice bowls are halal-friendly. We label them with a green dot.
What's the most popular item?,The chicken rice bowl and the oat-milk latte are our two best sellers.
Do you have gluten-free options?,"Yes, the rice bowls and fruit cups are gluten-free. The sandwiches are not, sorry."
Can I get food to take away?,Of course. Just tell us 'to go' and we'll pack it in a paper box.
Do you have hot chocolate?,Yes! Hot chocolate is 300 yen and we can make it with oat milk too.
Is there free water?,"Yes, there's a free water station by the door. Bottles welcome."
What time is lunch busiest?,"It gets crowded from 12:15 to 12:45, so come a little early if you can."
Do you sell snacks for after school?,"Yes, cookies, rice balls, and fruit are available until we close at 4:00."
How much is a rice ball?,"A rice ball is 150 yen, or two for 250 yen."
Can teachers buy food here too?,"Absolutely, everyone in the school community is welcome."
Do you have sugar-free drinks?,"Yes, unsweetened iced tea and black coffee are sugar-free."
"I forgot my wallet, can I pay tomorrow?","We can't keep a tab, sorry, but a friend can tap their card for you and you can pay them back."
Do you recycle?,"Yes, please sort cups and food waste into the labelled bins by the exit."
Is there a microwave I can use?,"Yes, there's a microwave for students near the water station."
What allergens do you label?,"We label dairy, egg, wheat, fish, and nuts with small coloured dots on each item."
Can I leave feedback?,"We'd love that! There's a suggestion box on the counter, or tell any staff member."
Do you have birthday treats?,"If it's your birthday, show us your student card and your first cookie is free!"
What happens to leftover food?,Unsold fresh food is donated to a local shelter at the end of each day.
